34.05028	-118.24209	671000	c	Los Angeles
36.46072	-116.86446	671049	v	Furnace Creek
38.90849	-76.77235	671112	c	Washington D. C.
39.28105	-76.56790	671113	c	Baltimore
53.51111	-2.22248	674029	c	Manchester
50.93041	-1.35930	675890	t	Townhill Park
53.18350	-2.67981	692356	v	Utkinton
53.13935	-2.67176	692362	v	Tiverton
50.68875	-1.08501	692613	v	Bembridge
50.69928	-1.11327	692627	v	St Helens
51.03352	-1.54688	696727	v	Dunbridge
50.98909	-1.49988	696729	t	Romsey
50.91880	0.48088	713269	t	Battle
50.86461	0.25786	713302	t	Hailsham
50.68130	-1.14226	759988	t	Brading
51.11500	0.18507	836973	v	Groombridge
51.01847	-1.31501	1564779	v	Twyford
50.98253	-1.23535	1564780	v	Upham
51.38127	-2.35932	1947201	c	Bath
51.59556	-2.57911	1995671	v	Elberton
51.69227	-0.17868	2068681	t	Potters Bar
51.37978	-0.46229	2099044	v	Hamhaugh Island
51.38153	-0.45989	2099045	v	Lock Island
51.38200	-0.46579	2099047	v	Pharaoh's Island
50.70302	-1.49373	2386520	v	Yarmouth
50.70460	-1.31126	2386521	t	Newport
50.70198	-1.51250	2386522	v	Norton
50.70243	-1.41709	2386523	v	Shalfleet
50.65274	-1.44911	2433296	v	Brook
50.65458	-1.43855	2433321	v	Hulverstone
50.65132	-1.42623	2433329	v	Mottistone
50.95166	0.73210	2510480	t	Rye
51.53758	-0.90503	2510592	t	Henley on Thames
51.50353	-0.86722	2510689	v	Wargrave
51.53045	-0.68944	2511067	v	Taplow
51.50884	-0.59803	2511285	t	Slough
48.18948	17.25645	2554229	v	Ivanka pri Dunaji
51.86755	-5.12544	3212316	v	Penycwm
51.80050	-5.09454	3371030	v	Haroldston West
51.78237	-5.10213	3371539	v	Broad Haven
51.77379	-5.10775	3371736	v	Little Haven
51.76362	-5.13371	3372116	v	Talbenny Cross
51.79877	-5.01772	3375290	v	Portfield Gate
51.74144	-0.02234	3834833	t	Broxbourne
50.71016	-1.20627	3857512	v	Havenstreet
52.13586	-0.46753	4085941	t	Untitled
51.21008	-1.16352	4118104	v	Dummer
50.63371	-1.16822	4370301	t	Shanklin
51.37066	-0.49027	4456856	t	Addlestone
51.82198	-1.31799	5287295	v	Begbroke
51.84749	-1.35453	5287297	t	Woodstock
51.81241	-1.31206	5287952	v	Yarnton
47.88964	18.20071	5407898	v	Bohatá
47.87448	18.19248	5407901	t	Hurbanovo
47.90023	18.14132	5408062	v	Ímeľ
51.85162	-1.46247	5418911	v	Fawler
51.85365	-1.43047	5418912	v	Stonesfield
51.88133	-1.30593	5491642	v	Tackley
51.82310	-1.28878	5494559	t	Kidlington
50.64448	-1.39586	5509843	v	Brighstone
52.71904	-1.76351	5638800	v	Fradley Village
52.70880	-1.77700	5638941	v	Fradley Park
50.65292	-1.20161	6368257	v	Winford
54.21643	-2.89288	6958613	v	Lindale
54.19290	-2.90923	6962506	t	Grange-over-Sands
54.20146	-2.95176	6962587	v	Cartmel
50.61415	-1.21955	7024305	v	Wroxall
54.07417	-4.65159	7109459	t	Castletown
54.10014	-4.68049	7109460	v	Ballabeg
54.09691	-4.70166	7109461	v	Colby
